grid,rate
933,5.2
934,6.9
935,0.4
936,0
937,8.7
938,4.9
939,0.9
940,4.5
941,5.9
942,4.9
943,7.9
944,9.3
945,8
946,3.9
947,5.9
948,2.6
949,3.6
950,5.2
951,8.9
952,4.9
953,4.5
954,8.2
955,0.8
956,0
957,0.2
958,6.2
959,5.6
960,1.1
961,9.5
962,6.1
963,1.7
964,0.8
965,4.7
966,3.3
967,2.8
968,7.4
969,7.9
970,2.8
971,1.4
972,4.6
973,7.3
974,5.7
975,7.7
976,8.6
977,9.8
978,2
979,6.4
980,0.6
981,3.8
982,9.7
983,1.9
984,2.8
985,3.9
986,1.8
987,4.1
988,2.1
989,9.3
990,8.8
991,7.8
992,8.6
993,0.1
994,4.5
995,9.1
996,5.1
997,0.6
998,6.3
999,7.4
1000,5.2
1001,4.2
1002,6.8
1003,0.8
1004,5.3
1005,0.7
1006,8.6
1007,9.1
1008,4
1009,3
1010,8.9
1011,4.6
1012,2.7
1013,7.1
1014,5.8
1015,7.9
1016,3.8
1017,0.4
1018,4.3
1019,9.2
1020,2.3
1021,3.1
1022,5.8
1023,1.1
1024,3.3
1025,5.4
1026,8.8
1027,8.9
1028,7.3
1029,7
1030,5.3
1031,4.3
1032,4.2
1033,9.6
1034,1.7
1035,0.8
1036,8.9
1037,6
1038,8.6
1039,7.4
1040,4.4
1041,4.6
1042,1.9
1043,3.3
1044,1.4
1045,2.4
1046,5.7
1047,5
1048,6.4
1049,8.6
1050,4.3
1051,0
1052,0.9
1053,9
1054,5.6
1055,6.6
1056,9.5
1057,2.6
1058,2.7
1059,4.2
1060,0.6
1061,0.9
1062,4.4
1063,1.4
1064,6.3
1065,9
1066,0.4
1067,6.4
1068,5
1069,2.6
1070,3.9
1071,6.2
1072,2.5
1073,0.2
1074,8.3
1075,9.8
1076,8
1077,9.7
1078,5.5
1079,9.3
1080,6.8
1081,1.5
1082,8.5
1083,2.4
1084,5.8
1085,2.9
1086,5.8
1087,8.2
1088,5.1
1089,0.7
1090,3
1091,1.6
1092,3.7
1093,0.1
1094,3.7
1095,5.5
1096,4.4
1097,3.7
1098,0.5
1099,5
1100,8.9
1101,7.9
1102,1.1
1103,6.2
1104,7.9
1105,1.9
1106,7.1
1107,6.1
1108,7.1
1109,5.8
1110,1
1111,0.7
1112,5.2
1113,7.7
1114,2.1
1115,4.1
1116,5.2
1117,1.8
1118,7.5
1119,2.9
1120,2.5
1121,1.8
1122,2.8
1123,0.9
1124,0
1125,4.6
1126,5.2
1127,1.8
1128,5.9
1129,3.8
1130,2.9
1131,6
1132,2.6
1133,4.2
1134,6.3
1135,8.4
1136,5.9
1137,8.8
1138,1.7
1139,0
1140,6.2
1141,7.1
1142,6.8
1143,5.5
1144,5.3
1145,8.4
1146,4.9
1147,2.7
1148,0.2
1149,3.7
1150,8.6
1151,9.8
1152,6.8
1153,8.5
1154,7.7
1155,9.9
1156,0.5
1157,6.1
1158,2.9
1159,9.2
1160,4
1161,0
1162,2
1163,5.3
1164,0.6
1165,1.4
1166,8.5
1167,9.1
1168,4.8
1169,7.2
1170,3.4
1171,3.1
1172,2.6
1173,7.4
1174,4.9
1175,1.2
1176,2.3
1177,1
1178,8.2
1179,9.6
1180,5.4
1181,5.1
1182,7.3
1183,5.4
1184,0.6
1185,2
1186,7.6
1187,3.8
1188,3.5
1189,6.3
1190,2.3
1191,7
1192,6.2
1193,3.9
1194,0.4
1195,8.1
1196,6.2
1197,6.1
1198,0.5
1199,0.5
1200,4.1
1201,4.1
1202,3.5
1203,5.7
1204,7.4
1205,2.3
1206,7.4
1207,7.1
1208,7.1
1209,0.9
1210,3.2
1211,1.9
1212,6.8
1213,7.9
1214,0.9
1215,6.4
1216,4.6
1217,2.9
1218,0.5
1219,2.7
1220,3.1
1221,6.2
1222,5.6
1223,7.4
1224,2.3
1225,5.1
1226,5.2
1227,9.7
1228,8.5
1229,7.9
1230,2.8
1231,8.6
1232,0.4
1233,4.2
1234,0.5
1235,6.1
1236,0
1237,2.7
1238,9.3
1239,0.5
1240,7.4
1241,4.4
1242,8.8
1243,1.1
1244,0.5
1245,9.6
1246,2.2
1247,7.2
1248,7.3
1249,4.4
1250,5.6
1251,6.5
1252,4.7
1253,8.9
1254,6.8
1255,0.5
1256,5.8
1257,5.1
1258,9.4
1259,3.9
1260,8.5
1261,4.6
1262,6.2
1263,9.4
1264,3.4
1265,7.4
1266,5.4
1267,8.8
1268,7.8
1269,2.4
1270,0.3
1271,8.6
1272,5.5
1273,6
1274,5.8
1275,6.2
1276,8.6
1277,5.8
1278,7.4
1279,7.2
1280,0.3
1281,5.2
1282,5.1
1283,0
1284,7.5
1285,5.4
1286,5.9
1287,5.9
1288,1.2
1289,4.1
1290,1.9
1291,8.3
1292,4.6
1293,2.8
1294,0
1295,2.3
1296,0.6
1297,2.5
1298,7.4
1299,7.3
1300,6.1
1301,6
1302,0.6
1303,4.7
1304,2.2
1305,9.8
1306,0.8
1307,5.5
1308,6
1309,9.3
1310,9.6
1311,7.1
1312,5.4
1313,8.6
1314,3.5
1315,5.8
1316,0
1317,9.2
1318,5
1319,9.2
1320,4.9
1321,5.2
1322,1.1
1323,3.1
1324,5.3
1325,5.9
1326,2.8
1327,4.5
1328,8.5
1329,0
1330,4.6
1331,9.2
1332,5
1333,5.5
1334,7.1
1335,2.8
1336,4.7
1337,3.9
1338,1.7
1339,6.4
1340,4.8
1341,2
1342,0.4
1343,4.1
1344,5.3
1345,7.5
1346,7.8
1347,3.8
1348,5
1349,7.7
1350,4.1
1351,0.4
1352,2.9
1353,9.6
1354,3.6
1355,0.1
1356,7.3
1357,0.2
1358,7.8
1359,3.9
1360,7.5
1361,5.6
1362,6
1363,1.7
1364,4.1
1365,1.9
1366,4.3
1367,6
1368,9.5
1369,6.7
1370,5.2
1371,7.9
1372,9.9
1373,5.6
1374,0.3
1375,6
1376,5.2
1377,6.3
1378,9.9
1379,7.6
1380,6.7
1381,6.6
1382,0.5
1383,5.4
1384,4.5
1385,0.1
1386,2.9
1387,8.6
1388,8.1
1389,7.4
1390,3.3
1391,6.1
1392,1.7
1393,5.9
1394,9
1395,4.1
1396,4.9
1397,0.6
1398,1.4
1399,1.6
1400,8.6
1401,4.9
1402,5.5
1403,0.4
1404,0.7
1405,2.7
1406,7.8
1407,5
1408,9.9
1409,0.5
1410,1.9
1411,5
1412,0.7
1413,1.6
1414,1.7
1415,8
1416,8.9
1417,3.3
1418,7
1419,8.4
1420,1.7
1421,4.6
1422,1.5
1423,4.4
1424,3
1425,5.7
1426,6.6
1427,5.2
1428,9.6
1429,9.3
1430,4
1431,3.8
1432,5.5
1433,5.4
1434,0.7
1435,5.1
1436,1.7
1437,2.5
1438,6.4
1439,7.6
1440,7.2
1441,3.3
1442,4.1
1443,8
1444,1.8
1445,5.8
1446,4
1447,1.3
1448,8.8
1449,5.5
1450,9.3
1451,5.2
1452,0.4
1453,5.6
1454,8.3
1455,5
1456,1.6
1457,8.2
1458,5
1459,2.3
1460,5.9
1461,1.8
1462,5
1463,7.6
1464,4.8
1465,0.9
1466,5.4
1467,5.2
1468,9.7
1469,2.7
1470,6.5
1471,6.9
1472,8.9
1473,2.6
1474,1.1
1475,5.7
1476,7.8
1477,8
1478,8.9
1479,0.2
1480,3.7
1481,2.9
1482,6
1483,1.8
1484,2.3
1485,5.5
1486,7.3
1487,6.1
1488,5.8
1489,6.8
1490,8.4
1491,3.6
1492,8.5
1493,5.6
1494,0
1495,8.5
1496,9.9
1497,2.6
1498,9.4
1499,9.6
1500,1.9
1501,0.2
1502,8.9
1503,7.5
1504,9.4
1505,9.1
1506,8.1
1507,5
1508,0.5
1509,8.7
1510,7.1
1511,1.6
1512,5.4
1513,5.3
1514,5
1515,4.5
1516,7.1
1517,7.5
1518,1.4
1519,2.9
1520,7.5
1521,6.2
1522,7.9
1523,5.9
1524,6.4
1525,8.3
1526,1.8
1527,9.9
1528,9.2
1529,0.5
1530,0.9
1531,7.5
1532,9
1533,0.8
1534,5
1535,8.4
1536,9.6
1537,5.4
1538,3.9
1539,0.5
1540,0
1541,9.6
1542,1.2
1543,3.5
1544,5.5
1545,3.6
1546,6.3
1547,2.1
1548,8.6
1549,0
1550,1.5
1551,6.6
1552,1.6
1553,7.5
1554,1.4
1555,4.6
1556,3.2
1557,9.4
1558,4.5
1559,3.3
1560,9.2
1561,2.8
1562,8.9
1563,6.9
1564,2.3
1565,9.1
1566,6
1567,6.3
1568,0.1
1569,6.3
1570,7
1571,1.2
1572,3.3
1573,9.1
1574,3.8
1575,8.2
1576,6.5
1577,1.4
1578,6.1
1579,5.7
1580,3.2
1581,7
1582,6.2
1583,2.8
1584,7.9
1585,4.1
1586,0.5
1587,9.8
1588,0.4
1589,6.4
1590,4.1
1591,9.2
1592,0.5
1593,4.9
1594,7.9
1595,8.5
1596,1.3
1597,9.8
1598,5.9
1599,4.2
1600,7.5
1601,9
1602,9.8
1603,2.7
1604,1.8
1605,5.4
1606,0
1607,9.1
1608,9.5
1609,1.4
1610,7.5
1611,3.9
1612,2.6
1613,0.5
1614,1.6
1615,4.7
1616,0.7
1617,4.3
1618,7.1
1619,2
1620,1
1621,6.7
1622,8.6
1623,5.1
1624,2
1625,2.7
1626,8.6
1627,3.8
1628,6.9
1629,3.4
1630,9.4
1631,8.2
1632,1.6
1633,1.3
1634,1.1
1635,9
1636,9.5
1637,0.1
1638,1.3
1639,8.1
1640,8.7
1641,9.7
1642,6.3
1643,4.7
1644,8.5
1645,4.2
1646,8.4
1647,8.5
1648,1.7
1649,3.4
1650,4.2
1651,3.1
1652,3.8
1653,2.5
1654,1.1
1655,5
1656,8.3
1657,9.2
1658,7.1
1659,6.1
1660,8
1661,2
1662,1.4
1663,6.1
1664,9.2
1665,0.8
1666,9.8
1667,0.1
1668,1.4
1669,3
1670,4
1671,8
1672,3.5
1673,4.1
1674,9.7
1675,5.9
1676,1.8
1677,1.9
1678,0.7
1679,7.9
1680,2.2
1681,3.9
1682,3.3
1683,9.3
1684,1.7
1685,8.6
1686,3.2
1687,8.3
1688,1.7
1689,0.3
1690,4.5
1691,3.7
1692,5.2
1693,8.8
1694,3.7
1695,3.3
1696,6.4
1697,1.7
1698,8.4
1699,7.3
1700,4.6
1701,0
1702,4.3
1703,2
1704,4.4
1705,4.4
1706,6.2
1707,2.5
1708,6.1
1709,7.2
1710,6.3
1711,5
1712,4.2
1713,3.8
1714,1.8
1715,0
1716,1
1717,7.1
1718,3.2
1719,8.5
1720,9.2
1721,9
1722,4.5
1723,2.8
1724,5.6
1725,6.8
1726,4.8
1727,5.4
1728,8.9
1729,0.3
1730,2.7
1731,2
1732,4.6
1733,4.6
1734,1.2
1735,2.5
1736,3.3
1737,3
1738,4.4
1739,7.2
1740,5
1741,9.8
1742,5.5
1743,0.7
1744,8.3
1745,5.7
1746,2.6
1747,2.4
1748,1.7
1749,0.7
1750,4.2
1751,2.5
1752,5.8
1753,6.1
1754,1.3
1755,9.7
1756,4.6
1757,1
1758,6.9
1759,0.6
1760,1.1
1761,4
1762,4.2
1763,5.9
1764,0.9
1765,9
1766,4.1
1767,5.6
1768,3.9
1769,6
1770,2.6
1771,0
1772,5.7
1773,4.5
1774,3.1
1775,4.8
1776,8.1
1777,1.1
1778,1.9
1779,3.1
1780,4.7
1781,8.5
1782,9.7
1783,4.2
1784,2.5
1785,7.7
1786,4.1
1787,9
1788,3.7
1789,9.3
1790,5.4
1791,8.8
1792,2.6
1793,5
1794,0.2
1795,1.3
1796,4.5
1797,2.7
1798,1.2
1799,2.7
1800,8.9
1801,8.9
1802,0.8
1803,7.3
1804,0.3
1805,0.5
1806,9.4
1807,1.8
1808,5.1
1809,6.8
1810,5.3
1811,7.9
1812,4.7
1813,8.2
1814,9.6
1815,5.6
1816,5
1817,1.2
1818,6.6
1819,7.3
1820,9.3
1821,4.9
1822,9.7
1823,4.6
1824,9.3
1825,4.2
1826,7.7
1827,0.7
1828,6.5
1829,1.6
1830,0
1831,6.2
1832,6.4
1833,3.1
1834,6.1
1835,7.3
1836,7.3
1837,9.1
1838,3.3
1839,0.2
1840,8.3
1841,9.5
1842,5.8
1843,4.9
1844,0.6
1845,3
1846,3.3
1847,6.1
1848,5.9
1849,6
1850,1.2
1851,8
1852,3.8
1853,9.1
1854,0
1855,6.7
1856,4.7
1857,4.9
1858,1.4
1859,8.7
1860,3.1
1861,7.7
1862,0.7
1863,5.1
1864,2.6
1865,6.3
1866,1.4
1867,3.2
1868,6.1
1869,9.9
1870,0.4
1871,3.9
1872,8.7
1873,3.9
1874,3.4
1875,6.5
1876,2.5
1877,5.1
1878,9.9
1879,1.1
1880,1.6
1881,5.4
1882,3.2
1883,2
1884,5.9
1885,0
1886,1
1887,0.3
1888,4.4
1889,6.6
1890,4
1891,4.7
1892,4.8
1893,1.2
1894,9.6
1895,2.3
1896,1.2
1897,0
1898,6.4
1899,0.6
1900,8.6
1901,6.6
1902,2.2
1903,0.6
1904,6.3
1905,0.8
1906,1.2
1907,8.7
