Тип транспорта,Номер маршрута,Конечные остановки,id остановки,Название остановки,Долгота,Широта
Маршрутка,174,ТРЦ Акварель — ВИР,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,246,Волгоградский оптово-строительный рынок — ВПЗ-15,1926692181,Улица Пархоменко, 48.725255,44.526279
Маршрутка,100,Автостанция Дубовка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,112,Грачи — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,113,Варламовский — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,114,Самофаловка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,119,Кузьмичи — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,125а,Карповка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,133,Западновка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,134,Красный Пахарь — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,340,Воронеж – Центральный автовокзал — Автовокзал Астрахань,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,502,Воронеж – Центральный автовокзал — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,516,Автостанция Ахтубинск — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,533к,Автостанция Новоаннинский — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,534,Автостанция Иловля — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,588,Автовокзал Елань — Автовокзал Волжский,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,609,Гурово — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,624,Петров Вал — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,627,Автостанция Фролово — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,650,Автовокзал Михайловка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,650,Автовокзал Михайловка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,661,Автостанция Даниловка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,664к,Автостанция Кумылженская — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,685,Автовокзал Калач-на-Дону — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,693,Автостанция Ольховка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,735,Автовокзал Николаевск — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,755к,Автовокзал Елань — Автовокзал Волжский,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,800,Ромашка — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,834,Суляевский — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,843,Автостанция Рудня — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,844,Автостанция Рудня — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,880,Попов — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Маршрутка,915,Автостанция Вёшенская — Центральный автовокзал Волгограда,2053524980,Пригородный вокзал, 48.712488,44.510716
Автобус,112,Центральный автовокзал Волгограда — Грачи,2136463008,Пригородный вокзал, 48.713259,44.511995
Автобус,113,Центральный автовокзал Волгограда — Варламовский,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,114,Центральный автовокзал Волгограда — Самофаловка,2136463008,Пригородный вокзал, 48.713259,44.511995
Автобус,119,Центральный автовокзал Волгограда — Кузьмичи,2136463008,Пригородный вокзал, 48.713259,44.511995
Автобус,125а,Центральный автовокзал Волгограда — Карповка,2136463008,Пригородный вокзал, 48.713259,44.511995
Автобус,133,Центральный автовокзал Волгограда — Западновка,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,134,Центральный автовокзал Волгограда — Красный Пахарь,2136463008,Пригородный вокзал, 48.713259,44.511995
Автобус,146,Центральный автовокзал Волгограда — Магазин Стимул,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,624,Центральный автовокзал Волгограда — Петров Вал,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,800,Центральный автовокзал Волгограда — Ромашка,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,846э,Центральный автовокзал Волгограда — Автостанция Котельниково,2136463008,Пригородный вокзал, 48.713259,44.511995
Маршрутка,100,Автостанция Дубовка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,112,Грачи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,113,Варламовский — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,114,Самофаловка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,119,Кузьмичи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,125а,Карповка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,133,Западновка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,134,Красный Пахарь — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,624,Петров Вал — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,685,Автовокзал Калач-на-Дону — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,735,Автовокзал Николаевск — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,800,Ромашка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,100,Автостанция Дубовка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,112,Грачи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,113,Варламовский — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,114,Самофаловка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,119,Кузьмичи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,125а,Карповка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,133,Западновка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,134,Красный Пахарь — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,624,Петров Вал — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,685,Автовокзал Калач-на-Дону — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,735,Автовокзал Николаевск — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,800,Ромашка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,100,Автостанция Дубовка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,112,Грачи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,113,Варламовский — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,114,Самофаловка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,119,Кузьмичи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,125а,Карповка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,133,Западновка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,134,Красный Пахарь — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,624,Петров Вал — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,685,Автовокзал Калач-на-Дону — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,735,Автовокзал Николаевск — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,800,Ромашка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,100,Автостанция Дубовка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,112,Грачи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,113,Варламовский — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,114,Самофаловка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,119,Кузьмичи — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,125а,Карповка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,133,Западновка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,134,Красный Пахарь — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,146,Магазин Стимул — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,624,Петров Вал — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,685,Автовокзал Калач-на-Дону — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,735,Автовокзал Николаевск — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,800,Ромашка — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,2162925992,Центральный автовокзал Волгограда, 48.715559,44.516746
Автобус,35,Больничный комплекс — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Автобус,20,Нижний посёлок ВГТЗ — Аллея Героев,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,7к,Олимпия — Роддом № 1,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,23а,ТЦ Ашан — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,75,Улица Ткачёва — Улица Хорошева,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,90а,Улица Хиросимы — Кинотеатр Юбилейный,2195678769,Улица Пархоменко, 48.725573,44.525118
Автобус,20,Нижний посёлок ВГТЗ — Аллея Героев,2195678769,Улица Пархоменко, 48.725573,44.525118
Автобус,35,Больничный комплекс — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,7к,Олимпия — Роддом № 1,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,23а,ТЦ Ашан — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,75,Улица Ткачёва — Улица Хорошева,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,90а,Улица Хиросимы — Кинотеатр Юбилейный,2195678769,Улица Пархоменко, 48.725573,44.525118
Автобус,20,Нижний посёлок ВГТЗ — Аллея Героев,2195678769,Улица Пархоменко, 48.725573,44.525118
Автобус,35,Больничный комплекс — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,7к,Олимпия — Роддом № 1,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,23а,ТЦ Ашан — Волгоградский оптово-строительный рынок,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,75,Улица Ткачёва — Улица Хорошева,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,90а,Улица Хиросимы — Кинотеатр Юбилейный,2195678769,Улица Пархоменко, 48.725573,44.525118
Маршрутка,7к,Роддом № 1 — Олимпия,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,90а,Кинотеатр Юбилейный — Улица Хиросимы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,152,Речной вокзал — Ямы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,156,Площадь Ленина — Клетский / Рассвет,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,164,Волгоградский оптово-строительный рынок — 2-я Пятилетка,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,174,ТРЦ Акварель — ВИР,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,246,Волгоградский оптово-строительный рынок — ВПЗ-15,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,7к,Роддом № 1 — Олимпия,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,90а,Кинотеатр Юбилейный — Улица Хиросимы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,152,Речной вокзал — Ямы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,156,Площадь Ленина — Клетский / Рассвет,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,164,Волгоградский оптово-строительный рынок — 2-я Пятилетка,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,174,ТРЦ Акварель — ВИР,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,246,Волгоградский оптово-строительный рынок — ВПЗ-15,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,7к,Роддом № 1 — Олимпия,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,90а,Кинотеатр Юбилейный — Улица Хиросимы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,152,Речной вокзал — Ямы,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,156,Площадь Ленина — Клетский / Рассвет,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,164,Волгоградский оптово-строительный рынок — 2-я Пятилетка,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,174,ТРЦ Акварель — ВИР,2224197211,Улица Хиросимы, 48.727381,44.52316
Маршрутка,246,Волгоградский оптово-строительный рынок — ВПЗ-15,2224197211,Улица Хиросимы, 48.727381,44.52316
Автобус,21,Инструментальный завод — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,6,Аэропорт — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,88,Горьковский — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Маршрутка,88,Горьковский — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,89э,Село Песчанка — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,123,Магазин Нюран — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Маршрутка,123,31-й микрорайон — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,Вокзал – Спартановка,Спартановка / Улица Грамши — Железнодорожный вокзал Волгоград-1,2498295996,Железнодорожный вокзал Волгоград-1, 48.712749,44.51556
Автобус,146,Центральный автовокзал Волгограда — Магазин Стимул,2521788410,Железнодорожный вокзал Волгоград-1, 48.711647,44.514776
Автобус,98,ЖК Бейкер-стрит — Речной вокзал,2632976554,Улица Хорошева, 48.734210,44.473981
Маршрутка,10с,Посёлок Верхнезареченский — Железнодорожная больница,2632976554,Улица Хорошева, 48.734210,44.473981
Маршрутка,44а,Магазин Эльдорадо — Улица 25 лет Октября,2632976554,Улица Хорошева, 48.734210,44.473981
Маршрутка,75,Улица Хорошева — Улица Ткачёва,2632976554,Улица Хорошева, 48.734210,44.473981
Автобус,35,Больничный комплекс — Волгоградский оптово-строительный рынок,3113766491,Союзпечать, 48.737680,44.513979
Маршрутка,7к,Олимпия — Роддом № 1,3113766491,Союзпечать, 48.737680,44.513979
Маршрутка,23а,ТЦ Ашан — Волгоградский оптово-строительный рынок,3113766491,Союзпечать, 48.737680,44.513979
Маршрутка,50,ГМ Магнит — Улица Комарова,3113766491,Союзпечать, 48.737680,44.513979
Автобус,35,Волгоградский оптово-строительный рынок — Больничный комплекс,3113766631,Союзпечать, 48.737570,44.514813
Маршрутка,7к,Роддом № 1 — Олимпия,3113766631,Союзпечать, 48.737570,44.514813
Маршрутка,23а,Волгоградский оптово-строительный рынок — ТЦ Ашан,3113766631,Союзпечать, 48.737570,44.514813
Маршрутка,50,Улица Комарова — ГМ Магнит,3113766631,Союзпечать, 48.737570,44.514813
Автобус,502,Воронеж – Центральный автовокзал — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Маршрутка,533к,Автостанция Новоаннинский — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Автобус,588,Автовокзал Елань — Автовокзал Волжский,3323034675,По требованию, 48.713648,44.498013
Маршрутка,627,Автостанция Фролово — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Автобус,650,Автовокзал Михайловка — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Маршрутка,664к,Автостанция Кумылженская — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Маршрутка,846э,Автостанция Котельниково — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Маршрутка,880,Попов — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Маршрутка,915,Автостанция Вёшенская — Центральный автовокзал Волгограда,3323034675,По требованию, 48.713648,44.498013
Автобус,340,Автовокзал Астрахань — Воронеж – Центральный автовокзал,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,502,Центральный автовокзал Волгограда — Воронеж – Центральный автовокзал,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,516,Автостанция Ахтубинск — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,523,Автовокзал Волжский — Автостанция Балашов,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,525,Центральный автовокзал Волгограда — Автовокзал Саратов,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,527,Железнодорожный вокзал Волгоград-1 — Автовокзал Урюпинск,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,533к,Центральный автовокзал Волгограда — Автостанция Новоаннинский,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,534,Автостанция Иловля — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,551,Центральный автовокзал Волгограда — Мачеха,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,551к,Центральный автовокзал Волгограда — Автостанция Преображенская,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,557,Центральный автовокзал Волгограда — Автостанция Клетская,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,579,Автостанция Даниловка — Автовокзал Волжский,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,588,Автовокзал Волжский — Автовокзал Елань,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,595,Новая Полтавка — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,602,Автостанция Камышин — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,609,Гурово — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,613,Автостанция Ной-Т Камышин — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,615,Автостанция Камышин — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,624,Центральный автовокзал Волгограда — Петров Вал,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,627,Автостанция Фролово — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,650,Автовокзал Михайловка — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,650,Автовокзал Михайловка — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,653,Центральный автовокзал Волгограда — Реконструкция,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,661,Автостанция Даниловка — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,663,Белые Пруды — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,664к,Центральный автовокзал Волгограда — Автостанция Кумылженская,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,672,Автостанция Нехаевская — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Автобус,693,Автостанция Ольховка — Центральный автовокзал Волгограда,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,707,Центральный автовокзал Волгограда — Воронеж – Центральный автовокзал,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,735,Центральный автовокзал Волгограда — Автовокзал Николаевск,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
Маршрутка,755,Центральный автовокзал Волгограда — Автовокзал Елань,stop__10084903,Центральный автовокзал Волгограда, 48.716102,44.516304
